Student_ID,CGPA,IQ,Communication_Skills,Aptitude_Score,Technical_Skills,Internship,Projects,Backlogs,Attendance,Placement
3412,9.54,126,6,53,9,Yes,6,1,80,Yes
2540,7.09,118,9,77,5,Yes,3,0,95,Yes
4945,8.93,133,7,41,6,Yes,2,2,96,Yes
1066,5.45,119,3,62,6,No,4,1,80,Yes
4640,9.45,125,4,60,3,Yes,3,0,87,Yes
3359,9.17,134,8,78,9,No,2,1,82,Yes
4555,9.13,130,9,48,7,Yes,0,0,72,Yes
78,5.31,142,4,76,2,Yes,6,4,79,No
3304,7.82,109,3,83,9,Yes,0,5,67,Yes
273,8.49,106,10,91,6,No,0,3,91,No
888,7.57,99,8,55,2,No,2,1,92,Yes
101,6.52,142,3,79,3,Yes,5,2,74,Yes
2716,5.2,139,6,41,4,No,0,0,61,No
1641,5.68,105,4,79,8,Yes,1,0,62,No
1948,7.28,130,10,85,9,No,1,1,65,Yes
3821,9.58,95,4,97,4,Yes,2,4,87,Yes
3409,7.85,106,3,45,4,No,0,1,75,No
758,7.74,144,4,73,10,Yes,0,1,98,Yes
1870,9.45,124,3,45,6,Yes,2,5,92,No
3670,6.98,126,8,90,7,No,6,1,83,Yes
2103,5.44,128,6,77,7,No,3,2,71,No
4590,6.82,125,4,47,4,No,2,3,76,No
2573,6.9,95,3,93,10,Yes,1,3,65,No
4713,8.44,98,7,62,9,No,3,5,78,Yes
1318,9.27,127,7,67,7,No,6,0,94,Yes
2362,7.03,139,10,49,2,Yes,3,0,61,Yes
3188,5.54,117,10,49,5,No,2,3,78,No
582,9.5,97,9,66,7,No,1,3,97,Yes
772,7.06,113,5,45,7,Yes,4,0,60,Yes
4751,7.01,130,8,87,9,No,5,1,97,Yes
3685,6.11,130,9,96,2,No,4,5,75,Yes
4001,6.44,86,6,84,5,No,4,1,94,No
3964,9.28,111,6,91,4,No,1,3,63,Yes
3956,6.84,121,6,83,10,Yes,2,0,75,Yes
2061,8.41,128,7,54,5,No,6,1,68,Yes
1208,7.78,90,7,97,10,Yes,0,3,71,Yes
1618,5.31,82,9,76,7,Yes,0,3,87,No
521,6.06,90,9,80,5,No,6,4,77,No
789,7.63,128,4,65,6,Yes,6,3,65,No
2965,9.16,139,10,96,8,Yes,3,1,84,Yes
3600,8.44,100,5,47,4,No,5,4,68,No
3592,5.22,106,7,54,6,Yes,4,3,83,Yes
2164,7.84,120,9,54,8,Yes,5,5,69,Yes
1472,8.31,89,4,47,4,No,3,0,71,No
105,5.05,139,7,83,10,Yes,3,2,97,Yes
403,8.29,81,7,66,3,No,2,4,98,No
4098,9.72,119,8,61,2,No,1,3,76,No
4133,5.14,106,9,67,8,Yes,3,5,99,No
4796,9.74,107,7,89,3,No,6,2,88,Yes
1758,8.47,90,10,88,7,No,0,3,92,Yes
4784,7.51,80,4,47,7,No,2,3,85,No
3781,5.37,136,8,46,8,Yes,1,0,76,Yes
2244,7.04,134,6,54,7,Yes,6,5,80,Yes
3384,6.15,87,10,41,8,Yes,2,4,61,Yes
2518,8.49,87,5,98,5,Yes,6,0,78,Yes
988,7.77,120,8,78,10,No,5,0,62,Yes
2545,5.89,97,8,55,4,No,6,3,84,No
914,7.58,88,6,98,9,Yes,6,4,67,Yes
3182,9.48,85,3,46,2,Yes,2,3,66,Yes
3919,9.1,122,10,91,10,Yes,5,4,62,Yes
3459,8.72,108,9,91,9,No,5,1,66,Yes
4062,7.79,93,4,97,4,Yes,1,5,72,No
2368,5.65,137,9,83,5,Yes,0,5,73,Yes
4718,7.43,140,3,98,4,Yes,4,0,60,Yes
1737,5.72,125,8,64,3,No,4,5,78,No
2439,7.35,132,4,58,5,No,4,2,77,No
4382,8.63,140,8,63,9,No,5,4,74,Yes
1830,9.57,142,7,64,10,Yes,4,2,91,Yes
2668,7.79,127,5,58,9,No,2,3,87,Yes
2633,7.88,128,9,66,8,No,0,1,80,Yes
1142,5.82,81,8,70,2,No,1,3,67,No
2953,7.76,121,3,96,6,Yes,0,5,81,Yes
4943,9.08,132,4,65,5,No,6,4,85,Yes
34,8.56,99,7,58,5,No,1,5,100,Yes
202,5.96,145,9,72,2,Yes,1,5,81,No
2069,7.86,121,8,76,8,Yes,6,3,71,Yes
2257,6.55,106,8,74,6,Yes,2,0,83,Yes
3571,9.22,137,5,46,7,No,0,2,69,No
3807,7.05,82,10,96,2,Yes,5,1,82,Yes
3557,6.22,132,3,96,10,No,5,4,91,Yes
2541,9.23,143,7,80,10,No,4,0,83,Yes
2793,5.6,127,7,67,3,No,0,4,89,No
3372,7.96,143,5,40,7,No,2,4,70,No
1059,5.75,84,5,72,4,Yes,6,3,89,No
2274,5.85,90,10,93,6,No,1,2,60,No
522,8.57,114,9,52,3,Yes,2,0,100,No
1880,6.03,124,5,89,9,No,6,0,74,Yes
973,8.72,142,9,59,4,No,4,3,81,Yes
3215,7.73,95,4,92,4,No,6,3,98,No
3268,7.57,80,5,79,7,Yes,4,4,96,Yes
2596,9.71,91,10,74,10,Yes,6,1,84,Yes
3139,5.65,142,4,57,10,Yes,5,0,99,Yes
2392,8.19,93,5,78,2,Yes,6,0,83,Yes
2331,7.62,90,5,69,5,Yes,5,3,74,No
3055,9.64,142,7,46,8,No,5,2,89,Yes
2349,8.79,129,9,75,7,No,2,3,90,No
1171,7.2,81,5,62,10,No,4,1,82,Yes
2280,5.12,139,6,79,9,Yes,6,0,88,Yes
1310,5.01,130,4,81,5,Yes,1,0,73,No
1712,6.64,141,6,51,3,No,5,3,76,Yes
1291,9.53,119,6,87,4,Yes,3,5,78,No
1471,9.04,104,10,56,2,No,3,0,88,Yes
1421,6.11,136,7,92,3,No,4,3,69,No
4150,7.55,85,10,48,2,No,0,1,100,Yes
773,7.09,138,10,47,5,No,1,2,78,Yes
3648,8.64,131,8,47,2,No,2,0,91,No
3736,9.19,101,6,95,5,No,5,4,90,No
4374,7.27,133,3,79,9,No,5,4,87,No
132,6.69,144,6,49,9,Yes,0,2,95,Yes
210,5.92,111,7,75,6,Yes,2,2,73,Yes
3753,7.38,93,9,69,6,No,5,4,86,Yes
2047,5.61,93,6,63,5,Yes,6,1,92,No
1275,7.95,98,5,70,2,Yes,0,1,92,Yes
2351,5.26,94,9,97,6,No,3,0,60,Yes
3120,5.63,123,10,74,8,Yes,1,4,79,No
436,7.62,105,6,58,9,Yes,5,0,71,Yes
3330,6.97,83,5,84,5,Yes,3,5,69,Yes
3037,6.16,131,9,87,9,Yes,2,2,76,Yes
1281,5.94,119,8,46,7,No,4,0,98,Yes
3552,8.41,109,6,52,2,Yes,2,4,92,No
1324,8.56,90,9,47,5,No,2,4,92,No
1306,9.06,127,3,70,4,Yes,3,4,85,Yes
4562,6.36,144,5,56,6,Yes,5,4,74,No
3879,5.28,109,7,55,10,No,2,2,69,No
489,5.96,81,4,98,3,No,5,4,97,No
777,8.4,112,4,46,10,Yes,2,1,90,Yes
2758,5.88,136,6,95,7,Yes,1,3,71,Yes
803,8.11,110,9,93,10,Yes,2,3,69,Yes
1258,5.08,143,9,100,7,No,5,0,88,Yes
4716,9.31,89,3,42,9,No,2,1,99,Yes
2064,5.13,114,8,95,9,No,3,5,96,No
152,6.75,116,9,66,7,No,0,5,81,No
793,5.45,145,8,69,5,No,5,1,91,Yes
3377,5.87,137,9,79,10,No,4,3,97,Yes
4988,9.49,87,10,58,3,No,3,3,77,No
3802,6.4,86,3,55,5,No,6,2,64,No
2574,5.64,92,9,60,7,No,5,3,92,No
4860,8.88,85,8,52,2,No,3,1,60,Yes
4884,6.1,109,7,76,3,No,3,2,91,No
938,8.65,141,3,88,8,Yes,0,2,98,Yes
899,5.06,145,5,95,8,Yes,5,5,73,No
2247,7.56,140,7,48,7,Yes,1,5,87,No
379,6.32,139,9,80,3,No,1,2,91,Yes
4373,9.74,86,8,50,3,No,0,2,100,No
1961,9.42,93,4,85,8,Yes,4,2,92,Yes
1823,9.17,129,9,86,7,No,4,0,61,Yes
2521,9.69,97,9,44,10,Yes,1,2,91,Yes
744,5.09,121,3,69,8,No,3,2,61,No
4794,8.25,133,5,88,5,No,5,0,86,Yes
3874,6.75,106,10,69,5,No,6,4,82,Yes
3436,5.13,143,4,56,10,No,3,2,63,Yes
4758,7.9,108,9,94,9,Yes,4,0,77,Yes
1192,7.1,87,6,54,3,No,1,3,94,No
4558,5.52,82,10,95,3,No,2,0,100,No
1135,6.91,135,8,43,9,Yes,0,0,84,Yes
3847,5.1,119,10,88,3,No,6,1,78,Yes
1182,9.32,97,4,68,8,No,6,0,96,Yes
4498,5.16,121,7,46,3,No,1,3,66,No
2699,9.21,89,6,45,7,Yes,0,3,98,Yes
4719,6.75,91,8,89,10,No,1,2,82,Yes
428,9.25,145,7,93,10,No,5,5,95,Yes
51,6.17,80,4,89,8,Yes,6,5,93,No
4290,7.6,81,8,94,10,Yes,0,2,61,Yes
3702,8.24,88,6,72,8,No,2,5,93,Yes
2830,6.56,103,3,69,6,No,1,2,96,No
2613,9.34,125,5,81,3,No,4,4,74,Yes
4204,5.39,91,9,91,5,Yes,5,5,74,Yes
4320,5.17,128,6,73,5,No,3,5,94,No
3294,7.09,103,10,68,10,No,1,3,62,No
52,7.68,95,10,48,9,No,4,4,80,Yes
2947,7.64,138,6,99,6,No,5,5,99,Yes
4012,5.64,98,5,97,2,No,0,0,99,No
2862,6.5,108,10,84,2,No,3,1,90,No
25,9.11,92,3,81,10,No,0,1,70,Yes
2225,7.54,133,4,95,3,No,1,5,93,Yes
3477,9.15,139,3,83,10,No,2,0,60,Yes
4181,5.23,94,8,100,3,No,0,0,80,No
3910,8.1,135,10,81,4,No,2,0,92,Yes
2389,6.59,101,10,95,4,No,2,2,73,Yes
2353,8.37,94,6,76,4,Yes,6,2,92,Yes
3742,9.04,139,3,82,9,No,3,2,60,Yes
1713,6.31,105,9,82,7,Yes,3,4,72,Yes
3228,6.42,92,5,60,5,Yes,3,2,61,No
3578,7.72,90,4,81,2,No,6,5,96,No
3442,5.04,83,10,95,3,Yes,0,4,86,No
3984,9.41,127,6,69,4,Yes,3,3,62,Yes
614,6.49,139,10,54,5,Yes,4,2,83,Yes
1103,6.18,128,7,82,2,Yes,1,5,61,No
941,6.8,131,9,100,8,No,2,3,91,Yes
3831,5.59,123,8,61,9,No,1,0,90,Yes
3438,5.13,105,10,81,10,No,0,5,63,No
3123,7.78,81,7,50,7,Yes,2,1,93,Yes
1213,8.27,89,9,96,6,Yes,2,4,83,Yes
3070,6.94,108,8,70,8,Yes,6,0,77,Yes
3110,7.21,145,10,49,4,Yes,4,1,78,No
4029,5.14,118,3,65,7,Yes,5,3,100,Yes
11,6.18,113,9,97,8,Yes,1,4,91,No
2632,8.6,129,5,47,10,No,3,3,88,Yes
1725,5.76,128,3,50,7,Yes,1,5,86,No
2252,7.61,135,4,63,6,No,1,0,81,Yes
711,8.14,116,9,51,9,No,5,1,61,Yes
1078,6.67,139,10,46,3,Yes,0,3,87,No
771,5.11,109,4,69,5,Yes,6,1,63,No
691,7.2,90,9,97,4,Yes,0,0,70,Yes
4162,8.4,119,10,58,5,No,6,4,74,Yes
466,6.26,102,9,81,8,Yes,5,0,93,Yes
4427,8.8,119,10,57,7,Yes,0,5,96,Yes
1659,8.34,137,8,100,10,Yes,5,5,85,Yes
2174,5.86,104,5,41,6,No,0,2,70,No
3732,6.06,116,9,89,7,No,1,3,72,Yes
2477,9.31,98,4,62,9,No,1,4,83,No
1666,7.34,122,5,42,4,Yes,4,3,77,Yes
4693,7.08,83,4,60,6,Yes,4,1,88,Yes
619,6.13,89,10,47,9,Yes,0,3,71,No
2634,9.39,115,5,91,2,Yes,6,1,68,Yes
331,5.36,87,9,82,4,Yes,2,2,85,Yes
433,7.6,125,10,46,10,No,5,5,95,Yes
3346,7.87,145,5,97,8,No,0,5,84,No
3466,6.86,122,7,48,3,No,6,5,90,Yes
4641,5.73,131,8,74,8,No,5,1,84,No
4801,5.74,101,5,40,10,No,5,1,77,Yes
3843,5.36,125,6,69,10,No,1,0,82,No
2284,9.7,108,7,58,4,Yes,1,0,85,Yes
220,7.2,112,5,40,7,No,4,5,72,No
1342,9.02,100,6,69,3,Yes,0,5,86,Yes
2772,9.41,96,9,92,6,No,6,4,73,No
4922,5.09,133,6,100,6,No,2,2,66,No
97,8.72,85,8,87,9,No,6,3,84,Yes
2183,8.23,106,6,92,9,Yes,5,0,92,Yes
2168,5.45,102,4,63,6,No,0,5,83,No
3761,8.31,86,5,78,6,No,3,2,90,Yes
3088,6.43,122,9,56,8,No,0,4,99,No
4011,6.5,143,7,67,3,Yes,5,0,95,Yes
2777,6.8,80,4,46,7,Yes,0,3,82,No
2291,9.22,145,9,48,5,No,0,0,92,Yes
2764,6.11,120,3,79,9,No,1,2,77,Yes
27,8.34,142,5,52,6,Yes,0,4,94,No
149,9.15,91,9,69,10,No,5,0,88,Yes
923,8.99,101,5,42,8,No,6,2,80,Yes
4129,7.51,136,7,95,8,Yes,6,2,68,Yes
1237,6.57,144,8,57,9,No,4,5,64,Yes
1892,5.52,123,3,69,3,Yes,0,3,88,No
649,9.78,113,7,51,9,Yes,1,4,85,Yes
2637,8.91,95,7,58,2,No,1,1,82,No
2234,6.12,123,5,46,3,No,3,5,93,No
1685,5.02,125,3,82,7,No,3,5,60,No
4877,8.74,145,8,77,4,Yes,1,3,100,Yes
3996,7.27,87,7,69,4,Yes,5,5,75,No
4613,6.3,123,3,93,6,No,0,0,95,Yes
116,5.56,85,3,59,9,Yes,1,4,68,No
4662,7.93,118,4,48,7,No,6,0,96,Yes
323,6.75,99,5,99,2,No,5,5,86,No
184,9.45,102,8,72,5,Yes,1,1,75,Yes
1043,7.31,136,5,59,7,No,1,0,94,Yes
1882,9.44,107,3,56,3,No,6,1,61,No
841,8.7,119,4,81,10,Yes,4,4,96,Yes
3030,7.97,134,7,61,5,Yes,3,2,80,No
4361,8.32,121,10,82,2,No,3,1,60,Yes
1633,6.45,111,5,41,5,No,2,3,85,No
174,8.84,135,9,87,9,No,3,2,71,Yes
1739,8.96,116,3,60,8,No,4,3,89,No
2631,6.39,110,6,89,2,No,3,5,82,No
4068,9.05,134,4,85,7,No,1,4,80,Yes
2123,6.08,122,9,48,9,No,1,4,94,No
3718,7.3,126,4,54,2,Yes,0,4,69,No
2853,7.83,114,8,82,2,Yes,0,0,86,No
4701,6.48,119,6,42,2,Yes,4,2,85,No
1866,7.43,136,8,83,5,No,5,5,83,Yes
3121,7.43,111,10,85,2,Yes,3,2,76,Yes
1594,8.75,83,6,82,7,Yes,4,1,68,Yes
3060,9.79,136,4,56,9,No,3,5,75,Yes
4840,9.25,100,5,83,10,No,2,1,98,Yes
1084,6.68,133,10,70,10,No,1,5,87,No
3049,8.81,106,7,54,8,No,5,3,66,Yes
4964,6.66,120,7,66,7,Yes,0,3,99,No
1836,6.28,99,4,58,3,Yes,2,1,89,No
4445,9.25,100,9,66,10,Yes,6,4,60,Yes
3481,9.03,143,10,40,2,No,4,0,100,Yes
3675,6.36,119,9,69,6,No,6,0,87,Yes
2653,5.89,144,9,95,7,No,5,2,61,Yes
3737,8.08,127,9,73,3,No,4,3,83,No
2148,7.12,140,5,61,10,No,0,1,69,No
710,6.46,139,6,41,2,Yes,2,5,100,No
3625,7.4,141,7,93,5,No,1,3,77,No
163,9.25,83,9,43,8,No,1,3,65,Yes
4100,8.58,118,7,92,10,No,1,0,86,Yes
542,9.01,89,6,73,3,Yes,1,4,84,No
361,8.5,113,7,59,5,Yes,3,4,95,Yes
38,6.75,85,8,53,5,No,2,4,86,Yes
2590,8.19,140,7,74,8,No,4,2,67,Yes
2967,7.38,127,7,83,6,No,2,4,81,No
2489,9.33,140,5,42,10,Yes,2,5,84,Yes
3665,5.89,126,8,81,9,No,6,4,93,Yes
266,9.15,81,7,66,8,No,5,4,75,Yes
2846,7.47,114,6,90,6,No,6,1,82,Yes
4042,6.37,116,7,48,9,Yes,4,1,80,Yes
4643,5.85,115,8,42,10,No,0,3,99,No
99,7.11,138,3,86,4,Yes,5,1,64,Yes
2172,8.54,129,9,58,8,No,6,5,67,Yes
1629,7.54,142,9,75,10,No,4,3,93,Yes
2537,5.3,96,5,56,6,Yes,1,4,80,No
4396,8.7,136,5,57,7,No,5,4,95,Yes
1120,6.13,82,7,41,2,No,2,1,85,No
4087,5.1,87,8,49,2,Yes,1,1,76,No
3112,6.67,133,3,93,8,Yes,4,5,98,No
1463,7.32,129,7,71,6,No,5,0,93,Yes
4864,6.33,135,4,96,6,Yes,3,3,90,No
3374,6.23,115,10,59,8,Yes,1,4,75,Yes
3544,7.36,141,3,74,2,No,4,1,98,Yes
2643,5.87,109,3,59,9,No,1,0,76,Yes
1412,9.66,103,9,92,10,Yes,6,5,74,Yes
3923,6.19,136,3,43,6,No,0,5,91,No
4858,8.25,99,8,83,7,Yes,1,1,94,Yes
1721,6.33,134,8,99,7,No,4,5,70,No
1587,7.74,105,10,82,10,Yes,2,3,64,Yes
4149,7.21,133,9,46,10,No,5,1,86,No
2032,6.35,122,10,61,10,No,4,3,80,Yes
2712,9.8,118,3,40,6,Yes,5,4,77,Yes
4229,8.32,140,4,71,6,No,0,0,72,Yes
472,8.06,116,4,53,9,No,3,3,70,No
362,5.74,126,3,67,3,Yes,5,5,98,No
3452,5.53,114,7,91,3,Yes,1,4,67,No
4464,6.57,84,4,58,5,No,6,2,91,Yes
2436,5.83,135,7,44,2,No,0,4,81,No
364,7.26,113,4,81,10,Yes,2,3,83,No
3105,5.85,133,10,61,9,No,2,2,67,Yes
2858,5.8,125,5,96,9,No,1,4,87,No
3896,5.25,100,10,82,7,No,6,5,61,No
2286,6.46,137,10,96,4,Yes,0,1,71,Yes
2406,7.85,114,8,95,4,Yes,1,1,66,No
2992,9.1,108,7,74,3,No,5,0,63,Yes
3780,6.24,86,3,66,2,No,1,4,93,No
1595,9.56,145,9,81,4,Yes,4,2,91,Yes
2686,7.62,113,4,86,2,No,6,3,91,Yes
2931,8.21,100,7,55,7,Yes,4,2,88,Yes
2644,6.32,90,8,83,9,Yes,6,1,69,Yes
1615,9.2,123,8,41,9,No,3,3,98,Yes
4070,7.85,83,8,60,9,No,3,5,98,Yes
4228,5.5,86,10,56,6,Yes,4,5,74,No
1376,9.19,118,6,75,3,Yes,2,4,94,Yes
966,6.07,94,7,45,3,Yes,5,4,72,No
4837,8.1,82,5,53,4,Yes,3,2,66,Yes
1627,5.75,96,6,95,7,No,2,3,75,No
3653,8.57,121,7,100,6,No,0,4,95,Yes
1309,5.34,142,3,54,4,No,2,2,81,No
3803,8.23,143,5,58,9,No,1,2,77,No
2969,7.24,140,7,41,6,No,0,3,86,No
752,5.29,105,8,69,4,Yes,5,5,79,Yes
4078,6.95,110,8,50,6,No,3,3,97,No
2141,8.32,134,10,63,2,Yes,3,1,90,Yes
525,7.02,143,8,69,2,Yes,6,1,63,Yes
3924,9.28,116,6,64,10,Yes,5,5,100,Yes
1440,6.42,82,10,93,9,Yes,4,4,72,Yes
147,9.23,121,8,49,9,Yes,3,5,79,Yes
781,9.45,116,7,79,6,No,3,1,80,Yes
20,7.82,109,6,40,3,No,0,1,64,Yes
2242,9.73,142,4,57,7,No,6,0,99,No
4380,6.2,141,10,57,5,Yes,1,0,69,Yes
4813,8.75,108,4,85,3,No,4,0,79,Yes
1482,7.7,129,4,94,5,No,0,4,94,No
2897,8.15,116,9,44,6,Yes,3,3,71,Yes
1598,8.64,97,10,61,3,No,2,4,93,Yes
164,5.14,92,8,90,4,Yes,2,3,68,No
3015,6.83,134,6,44,5,Yes,0,3,68,Yes
2163,7.75,100,5,77,6,Yes,2,3,73,No
4403,5.01,134,6,76,2,No,4,2,93,No
2171,6.86,144,10,68,10,No,6,2,93,Yes
3764,9.35,81,6,76,6,No,6,3,83,Yes
1945,5.87,137,9,96,9,No,3,2,85,Yes
1037,7.79,130,5,68,5,No,3,2,69,Yes
952,9.18,136,4,95,4,Yes,0,3,67,Yes
4407,5.01,136,10,97,4,Yes,0,2,62,No
943,8.66,112,8,72,9,No,2,5,63,Yes
4975,7.49,81,4,75,10,Yes,2,5,97,Yes
1605,9.48,143,10,99,10,No,2,4,96,Yes
4891,7.58,102,6,68,5,No,4,2,100,Yes
2228,6.5,95,10,84,6,Yes,6,5,73,Yes
3885,6.33,85,7,86,8,Yes,2,0,65,Yes
833,5.69,96,10,85,9,Yes,5,4,93,No
3073,8.21,110,10,91,6,No,6,0,69,Yes
111,9.38,101,7,98,9,No,2,5,81,Yes
970,6.42,108,10,83,9,Yes,2,1,62,Yes
2580,8.72,120,10,95,2,No,3,0,75,Yes
2397,8.76,104,6,52,4,Yes,1,3,70,Yes
4828,9.0,114,9,100,3,No,0,2,64,Yes
2486,7.88,99,5,65,2,Yes,0,2,79,No
4377,6.11,135,8,53,9,No,4,2,93,Yes
2672,6.56,107,7,66,10,Yes,5,3,75,No
3100,5.92,124,9,72,9,No,4,2,64,No
3170,7.74,127,6,85,9,Yes,1,1,82,Yes
4250,7.66,98,4,50,9,No,4,5,94,No
357,6.69,128,4,93,9,No,4,5,74,No
3368,9.33,91,3,98,10,Yes,5,0,94,Yes
4757,6.81,125,3,70,3,No,0,3,85,No
3558,6.23,110,7,67,7,Yes,4,2,61,Yes
3071,5.11,81,3,98,9,No,1,2,100,No
2048,6.61,86,9,56,8,Yes,5,0,82,Yes
672,7.09,122,10,42,3,No,4,1,70,Yes
3901,5.07,87,9,95,2,No,2,0,89,No
3164,6.19,131,10,78,4,No,5,0,87,No
495,9.47,140,8,62,5,No,2,1,72,Yes
158,8.7,101,10,42,8,Yes,5,1,88,Yes
1452,5.85,135,7,71,3,Yes,3,1,74,No
2610,7.18,85,6,85,7,Yes,3,2,89,Yes
1507,9.3,82,5,91,3,Yes,1,2,64,No
4304,9.11,105,6,59,2,No,2,2,100,Yes
490,9.62,115,6,78,5,No,3,4,60,No
1953,5.59,109,8,96,6,Yes,6,2,63,No
3378,7.52,140,8,58,6,Yes,2,3,78,Yes
1400,6.81,101,5,46,2,Yes,1,0,86,Yes
3878,5.65,93,10,58,5,Yes,3,0,73,No
4933,7.5,144,9,78,2,No,3,4,87,No
384,8.25,130,4,40,10,No,6,2,95,Yes
4700,5.17,90,3,43,3,Yes,2,5,97,No
4499,8.08,117,9,87,5,No,6,5,60,Yes
154,6.49,130,5,78,3,Yes,3,5,81,No
645,6.36,104,3,41,3,Yes,4,5,73,No
1311,5.45,129,5,67,4,Yes,3,5,90,No
2981,5.02,103,5,71,8,No,6,0,80,No
1968,5.84,96,6,93,10,No,4,3,70,Yes
1356,6.91,92,8,72,3,Yes,4,5,94,Yes
286,7.2,102,7,98,3,No,2,0,75,Yes
4823,5.09,107,10,42,4,Yes,4,5,95,No
414,8.14,81,6,82,7,No,5,5,99,No
4838,7.63,80,9,87,2,No,0,3,82,No
1321,7.07,115,8,69,5,No,6,5,93,Yes
4206,8.61,98,7,63,7,Yes,2,0,94,No
4879,8.53,93,9,63,8,Yes,4,0,76,Yes
280,6.65,106,10,62,9,Yes,5,5,88,Yes
4520,7.81,138,5,54,10,No,0,3,64,No
3775,7.41,89,4,45,7,No,0,1,79,No
4238,9.54,109,6,40,5,No,6,2,75,No
321,8.42,89,10,69,10,Yes,3,4,70,Yes
1091,6.61,102,10,67,7,Yes,4,1,94,Yes
3074,9.15,129,9,100,3,Yes,1,5,68,No
4203,5.07,106,9,59,2,No,6,2,91,No
4051,8.0,118,9,55,10,Yes,2,0,70,Yes
3857,6.19,113,8,84,8,No,0,4,67,No
1983,7.54,142,4,63,2,Yes,4,3,71,No
322,6.22,93,4,54,10,Yes,6,0,75,Yes
732,9.68,123,6,78,8,Yes,6,3,91,Yes
3903,7.03,124,10,60,7,No,2,0,97,Yes
1449,5.25,125,4,89,3,No,4,3,70,No
4711,5.79,101,6,43,3,Yes,2,5,74,No
4047,9.19,107,9,50,10,No,1,1,72,Yes
172,9.53,84,7,52,2,No,0,2,79,No
1477,5.21,81,5,61,6,No,2,3,72,No
3621,8.61,126,8,98,9,No,1,3,89,Yes
3390,6.57,117,4,73,2,Yes,6,4,93,No
1873,5.57,138,9,69,4,Yes,4,5,65,No
3010,9.78,82,5,98,10,Yes,6,3,62,Yes
1985,8.67,125,10,94,10,No,6,1,84,Yes
1564,6.66,102,9,63,9,No,6,2,69,Yes
4981,6.21,143,6,79,4,Yes,2,5,76,Yes
440,9.59,88,5,66,10,No,0,2,74,Yes
287,5.88,98,9,66,4,No,3,1,91,Yes
4777,7.83,121,10,51,6,No,0,1,63,No
35,7.43,112,3,45,8,No,0,0,81,Yes
3440,7.22,81,8,78,6,Yes,4,3,85,Yes
1246,9.27,132,3,75,7,Yes,2,3,85,Yes
1508,8.85,91,4,40,2,No,2,4,64,No
2323,8.21,103,9,68,2,No,6,3,84,Yes
1729,6.8,139,4,95,3,No,1,0,74,Yes
4729,7.46,110,10,78,10,No,5,2,70,Yes
563,8.34,114,3,69,2,Yes,5,2,83,Yes
3488,9.27,145,6,57,10,Yes,1,5,87,Yes
1957,8.1,101,10,50,2,Yes,6,4,94,Yes
2077,7.39,100,3,84,10,Yes,2,5,69,No
4539,5.04,107,10,76,5,Yes,0,4,97,No
58,7.62,108,10,54,6,Yes,0,3,81,Yes
4610,5.4,80,4,82,6,No,3,1,64,Yes
3117,5.83,84,9,74,4,Yes,1,1,72,Yes
2317,5.61,134,4,62,3,Yes,5,2,94,Yes
